EVENT,REQUEST,RESPONSE
DeleteDBInstanceAutomatedBackup,"ARN: requestParameters.dBInstanceAutomatedBackupsArn
NAME: requestParameters.dbiResourceId","ARN: responseElements.dBInstanceArn
ARN: responseElements.dBInstanceAutomatedBackupsArn
NAME: responseElements.dBInstanceIdentifier"
DeleteDBParameterGroup,NAME: requestParameters.dBParameterGroupName,
DeleteDBProxy,NAME: requestParameters.dBProxyName,"NAME: responseElements.dBProxy.dBProxyName
ARN: responseElements.dBProxy.dBProxyArn"
DeleteDBProxyEndpoint,NAME: requestParameters.dbProxyEndpointName,"NAME: responseElements.dBProxyEndpoint.dBProxyName
NAME: responseElements.dBProxyEndpoint.dbProxyEndpointName
ARN: responseElements.dBProxyEndpoint.dBProxyEndpointArn"
DeleteDBSecurityGroup,NAME: requestParameters.dBSecurityGroupName,
DeleteDBShardGroup,,
DeleteDBSnapshot,NAME: requestParameters.dBSnapshotIdentifier,
DeleteDBSubnetGroup,NAME: requestParameters.dBSubnetGroupName,
DeleteEventSubscription,NAME: requestParameters.subscriptionName,ARN: responseElements.eventSubscriptionArn
DeleteGlobalCluster,NAME: requestParameters.globalClusterIdentifier,"NAME: responseElements.globalClusterName
ARN: responseElements.globalClusterArn"
DeleteIntegration,,
DeleteOptionGroup,NAME: requestParameters.optionGroupName,
DeleteTenantDatabase,,
DeregisterDBProxyTargets,"NAME: requestParameters.dBProxyName
ID/NAME: requestParameters.dBClusterIdentifiers[*]
ID/NAME: requestParameters.dBInstanceIdentifiers[*]",
DisableHttpEndpoint,,
DownloadDBLogFilePortion,NAME: requestParameters.dBInstanceIdentifier,
EnableHttpEndpoint,,
FailoverDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
FailoverGlobalCluster,"NAME: requestParameters.globalClusterIdentifier
NAME: requestParameters.targetDbClusterIdentifier","NAME: responseElements.globalClusterName
ARN: responseElements.globalClusterArn"
ModifyActivityStream,ARN: requestParameters.resourceArn,
ModifyCertificates,NAME/ID: requestParameters.certificateIdentifier,"NAME: responseElements.certificateIdentifier
ARN: responseElements.certificateArn"
ModifyCurrentDBClusterCapacity,NAME: requestParameters.dBClusterIdentifier,NAME: responseElements.dBClusterIdentifier
ModifyCustomDBEngineVersion,NAME: requestParameters.engine,"NAME: responseElements.engine
ARN: responseElements.dBEngineVersionArn"
ModifyDBCluster,NAME: requestParameters.dBClusterIdentifier,"NAME: responseElements.dBClusterIdentifier
ARN: responseElements.dBClusterArn"
ModifyDBClusterEndpoint,NAME: requestParameters.dBClusterEndpointIdentifier,"NAME: responseElements.dBClusterEndpointIdentifier
ARN: responseElements.dBClusterEndpointArn
NAME: responseElements.dBClusterIdentifier"
