Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft DocumentDB,Gremlin Database,Write Gremlin database,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/write,Create a Gremlin database.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Migrate Gremlin Database offer to autoscale,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToAutoscale/action,Migrate Gremlin Database offer to autoscale.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Migrate Gremlin Database offer to to manual throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToManualThroughput/action,Migrate Gremlin Database offer to to manual throughput.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Read Gremlin database throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/read,Read a Gremlin database throughput.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToAutoscale/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToManualThroughput/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin Database throughput setting,Write Gremlin database throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/write,Update a Gremlin database throughput.,,False
Microsoft DocumentDB,Gremlin Graph,Delete Gremlin graph,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/delete,Delete a Gremlin graph.,,False
Microsoft DocumentDB,Gremlin Graph,Read Gremlin graph(s),Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/read,Read a Gremlin graph or list all the Gremlin graphs.,,False
Microsoft DocumentDB,Gremlin Graph,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin Graph,Write Gremlin graph,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/write,Create or update a Gremlin graph.,,False
Microsoft DocumentDB,Gremlin Graph throughput setting,Read Gremlin graph throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/read,Read a Gremlin graph throughput.,,False
Microsoft DocumentDB,Gremlin Graph throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin Graph throughput setting,Write Gremlin graph throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/write,Update a Gremlin graph throughput.,,False
Microsoft DocumentDB,Gremlin graph throughput setting,Migrate Gremlin graph offer to autoscale,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToAutoscale/action,Migrate Gremlin graph offer to autoscale.,,False
Microsoft DocumentDB,Gremlin graph throughput setting,Migrate Gremlin graph offer to to manual throughput,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToManualThroughput/action,Migrate Gremlin graph offer to to manual throughput.,,False
Microsoft DocumentDB,Gremlin graph throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToAutoscale/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Gremlin graph throughput setting,Read operation results,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToManualThroughput/operationResults/read,Read status of the asynchronous operation.,,False
Microsoft DocumentDB,Keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Delete keyspace,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete a keyspace. Only applicable to API types: 'cassandra'.,,False
Microsoft DocumentDB,Keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Read keyspace(s),Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/read,(Deprecated. Please use resource paths without '/apis/' segment) Read a keyspace or list all the keyspaces. Only applicable to API types: 'cassandra'.,,False
Microsoft DocumentDB,Keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'.,,False
Microsoft DocumentDB,Keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Write keyspace,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/write,(Deprecated. Please use resource paths without '/apis/' segment) Create a keyspace. Only applicable to API types: 'cassandra'.,,False
Microsoft DocumentDB,Keyspace throughput setting,(Deprecated. Please use resource paths without '/apis/' segment) Read keyspace throughput,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read a keyspace throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,,False
Microsoft DocumentDB,Keyspace throughput setting,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,,False
Microsoft DocumentDB,Keyspace throughput setting,(Deprecated. Please use resource paths without '/apis/' segment) Write keyspace throughput,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Update a keyspace throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,,False
Microsoft DocumentDB,Managed Cassandra cluster,Microsoft.DocumentDB/cassandraClusters/delete,Microsoft.DocumentDB/cassandraClusters/delete,Delete a managed Cassandra cluster,,False
Microsoft DocumentDB,Managed Cassandra cluster,Microsoft.DocumentDB/cassandraClusters/read,Microsoft.DocumentDB/cassandraClusters/read,Read a managed Cassandra cluster or list all managed Cassandra clusters,,False
Microsoft DocumentDB,Managed Cassandra cluster,Microsoft.DocumentDB/cassandraClusters/write,Microsoft.DocumentDB/cassandraClusters/write,Create or update a managed Cassandra cluster,,False
Microsoft DocumentDB,Managed Cassandra data center,Microsoft.DocumentDB/cassandraClusters/dataCenters/delete,Microsoft.DocumentDB/cassandraClusters/dataCenters/delete,Delete a data center in a managed Cassandra cluster,,False
Microsoft DocumentDB,Managed Cassandra data center,Microsoft.DocumentDB/cassandraClusters/dataCenters/read,Microsoft.DocumentDB/cassandraClusters/dataCenters/read,Read a data center in a managed Cassandra cluster or list all data centers in a managed Cassandra cluster,,False
Microsoft DocumentDB,Managed Cassandra data center,Microsoft.DocumentDB/cassandraClusters/dataCenters/write,Microsoft.DocumentDB/cassandraClusters/dataCenters/write,Create or update a data center in a managed Cassandra cluster,,False
