Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Authorization,Private Endpoint Connection,Get Private Endpoint Connection,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/read,Get information about private endpoint connection.,,False
Microsoft Authorization,Private Endpoint Connection,Write a Private Endpoint Connection,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/write,Creates or updates a private endpoint connection.,,False
Microsoft Authorization,Private Endpoint Connection Proxy,Delete a Private Endpoint Connection Proxy,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/delete,Deletes a private endpoint connection proxy.,,False
Microsoft Authorization,Private Endpoint Connection Proxy,Get Private Endpoint Connection Proxy,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/read,Get information about private endpoint connection proxy.,,False
Microsoft Authorization,Private Endpoint Connection Proxy,Validate a Private Endpoint Connection Proxy,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/validate/action,Validates a private endpoint connection proxy.,,False
Microsoft Authorization,Private Endpoint Connection Proxy,Write a Private Endpoint Connection Proxy,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/write,Creates or updates a private endpoint connection proxy.,,False
Microsoft Authorization,Private Link Association,Delete a Private Link Association,Microsoft.Authorization/policyAssignments/privateLinkAssociations/delete,Deletes a private link association.,,False
Microsoft Authorization,Private Link Association,Get Private Link Association,Microsoft.Authorization/policyAssignments/privateLinkAssociations/read,Get information about private link association.,,False
Microsoft Authorization,Private Link Association,Write a Private Link Association,Microsoft.Authorization/policyAssignments/privateLinkAssociations/write,Creates or updates a private link association.,,False
Microsoft Authorization,Provider operations,Get operations for resource providers,Microsoft.Authorization/providerOperations/read,Get operations for all resource providers which can be used in role definitions.,,False
Microsoft Authorization,Resource Management Private Link,Delete a Resource Management Private Link,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/delete,Deletes a resource management private link.,,False
Microsoft Authorization,Resource Management Private Link,Get Resource Management Private Link,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/read,Get information about resource management private link.,,False
Microsoft Authorization,Resource Management Private Link,Write a Resource Management Private Link,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/write,Creates or updates a resource management private link.,,False
Microsoft Authorization,Role assignment,Create role assignment,Microsoft.Authorization/roleAssignments/write,Create a role assignment at the specified scope.,,False
Microsoft Authorization,Role assignment,Delete role assignment,Microsoft.Authorization/roleAssignments/delete,Delete a role assignment at the specified scope.,,False
Microsoft Authorization,Role assignment,Get role assignment,Microsoft.Authorization/roleAssignments/read,Get information about a role assignment.,,False
Microsoft Authorization,Role assignment schedule,Get Role assignment schedule,Microsoft.Authorization/roleAssignmentSchedules/read,Gets the role assignment schedules at given scope.,,False
Microsoft Authorization,Role assignment schedule instance,Get Role assignment schedule instance,Microsoft.Authorization/roleAssignmentScheduleInstances/read,Gets the role assignment schedule instances at given scope.,,False
Microsoft Authorization,Role assignment schedule request,Cancel Role assignment schedule request,Microsoft.Authorization/roleAssignmentScheduleRequests/cancel/action,Cancels a pending role assignment schedule request.,,False
Microsoft Authorization,Role assignment schedule request,Get Role assignment schedule request,Microsoft.Authorization/roleAssignmentScheduleRequests/read,Gets the role assignment schedule requests at given scope.,,False
Microsoft Authorization,Role assignment schedule request,Write Role assignment schedule request,Microsoft.Authorization/roleAssignmentScheduleRequests/write,Creates a role assignment schedule request at given scope.,,False
Microsoft Authorization,Role definition,Create or update custom role definition,Microsoft.Authorization/roleDefinitions/write,Create or update a custom role definition with specified permissions and assignable scopes.,,False
Microsoft Authorization,Role definition,Delete custom role definition,Microsoft.Authorization/roleDefinitions/delete,Delete the specified custom role definition.,,False
Microsoft Authorization,Role definition,Get role definition,Microsoft.Authorization/roleDefinitions/read,Get information about a role definition.,,False
Microsoft Authorization,Role eligibility schedule,Get Role eligibility schedule,Microsoft.Authorization/roleEligibilitySchedules/read,Gets the role eligibility schedules at given scope.,,False
Microsoft Authorization,Role eligibility schedule request,Cancel Role eligibility schedule request,Microsoft.Authorization/roleEligibilityScheduleRequests/cancel/action,Cancels a pending role eligibility schedule request.,,False
Microsoft Authorization,Role eligibility schedule request,Get Role eligibility schedule request,Microsoft.Authorization/roleEligibilityScheduleRequests/read,Gets the role eligibility schedule requests at given scope.,,False
Microsoft Authorization,Role eligibility schedule request,Write Role eligibility schedule request,Microsoft.Authorization/roleEligibilityScheduleRequests/write,Creates a role eligibility schedule request at given scope.,,False
Microsoft Authorization,Role management policy,Get Role management policy,Microsoft.Authorization/roleManagementPolicies/read,Get Role management policies,,False
Microsoft Authorization,Role management policy,Write Role management policy,Microsoft.Authorization/roleManagementPolicies/write,Update a role management policy,,False
Microsoft Authorization,Role management policy assignment,Get Role management policy assignment,Microsoft.Authorization/roleManagementPolicyAssignments/read,Get role management policy assignments,,False
