Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Logic,Integration Service Environment Operation Statuses,Get Integration Service Environment operation statuses,Microsoft.Logic/integrationServiceEnvironments/operationStatuses/read,Reads the integration service environment operation statuses.,,False
Microsoft Logic,Operation,Get Operation,Microsoft.Logic/operations/read,Gets the operation.,,False
Microsoft Logic,Private Endpoints Connection Proxies,Delete Private Endpoint Connection Proxies,Microsoft.Logic/integrationAccounts/privateEndpointConnectionProxies/delete,Deletes the Private Endpoint Connection Proxies.,,False
Microsoft Logic,Private Endpoints Connection Proxies,Get Private Endpoint Connection Proxies,Microsoft.Logic/integrationAccounts/privateEndpointConnectionProxies/read,Gets the Private Endpoint Connection Proxies.,,False
Microsoft Logic,Private Endpoints Connection Proxies,Get Private Endpoint Connection Proxies operation status.,Microsoft.Logic/integrationAccounts/privateEndpointConnectionProxies/operationStatuses/read,Gets Private Endpoint Connection Proxies operation status.,,False
Microsoft Logic,Private Endpoints Connection Proxies,Set Private Endpoint Connection Proxies,Microsoft.Logic/integrationAccounts/privateEndpointConnectionProxies/write,Creates or Updates the Private Endpoint Connection Proxies.,,False
Microsoft Logic,Private Endpoints Connection Proxies,Validate Private Endpoint Connection Proxies,Microsoft.Logic/integrationAccounts/privateEndpointConnectionProxies/validate/action,Validates the Private Endpoint Connection Proxies.,,False
Microsoft Logic,Resource Provider,Register Resource Provider,Microsoft.Logic/register/action,Registers the Microsoft.Logic resource provider for a given subscription.,,False
Microsoft Logic,Trigger,Get Trigger,Microsoft.Logic/workflows/triggers/read,Reads the trigger.,,False
Microsoft Logic,Trigger,List Trigger Callback URL,Microsoft.Logic/workflows/versions/triggers/listCallbackUrl/action,Gets the callback URL for trigger.,,False
Microsoft Logic,Trigger,List Trigger Callback URL,Microsoft.Logic/workflows/triggers/listCallbackUrl/action,Gets the callback URL for trigger.,,False
Microsoft Logic,Trigger,Set Trigger State,Microsoft.Logic/workflows/triggers/setState/action,Sets the trigger state.,,False
Microsoft Logic,Trigger,Trigger Reset,Microsoft.Logic/workflows/triggers/reset/action,Resets the trigger.,,False
Microsoft Logic,Trigger,Trigger Run,Microsoft.Logic/workflows/triggers/run/action,Executes the trigger.,,False
Microsoft Logic,Trigger Histories,Get Trigger Histories,Microsoft.Logic/workflows/triggers/histories/read,Reads the trigger histories.,,False
Microsoft Logic,Trigger Histories,Resubmit trigger,Microsoft.Logic/workflows/triggers/histories/resubmit/action,Resubmits the workflow trigger.,,False
Microsoft Logic,Workflow,Delete Workflow,Microsoft.Logic/workflows/delete,Deletes the workflow.,,False
Microsoft Logic,Workflow,Disable Workflow,Microsoft.Logic/workflows/disable/action,Disables the workflow.,,False
Microsoft Logic,Workflow,Enable Workflow,Microsoft.Logic/workflows/enable/action,Enables the workflow.,,False
Microsoft Logic,Workflow,Get Workflow,Microsoft.Logic/workflows/read,Reads the workflow.,,False
Microsoft Logic,Workflow,Get workflow swagger,Microsoft.Logic/workflows/listSwagger/action,Gets the workflow swagger definitions.,,False
Microsoft Logic,Workflow,List workflow callback URL,Microsoft.Logic/workflows/listCallbackUrl/action,Gets the callback URL for workflow.,,False
Microsoft Logic,Workflow,Move Workflow,Microsoft.Logic/workflows/move/action,"Moves Workflow from its existing subscription id, resource group, and/or name to a different subscription id, resource group, and/or name.",,False
Microsoft Logic,Workflow,Run Workflow,Microsoft.Logic/workflows/run/action,Starts a run of the workflow.,,False
Microsoft Logic,Workflow,Set Workflow,Microsoft.Logic/workflows/write,Creates or updates the workflow.,,False
Microsoft Logic,Workflow,Suspend Workflow,Microsoft.Logic/workflows/suspend/action,Suspends the workflow.,,False
Microsoft Logic,Workflow,Validate Workflow,Microsoft.Logic/locations/workflows/validate/action,Validates the workflow.,,False
Microsoft Logic,Workflow,Validate Workflow,Microsoft.Logic/workflows/validate/action,Validates the workflow.,,False
Microsoft Logic,Workflow Detector,Get Workflow Detector,Microsoft.Logic/workflows/detectors/read,Reads the workflow detector.,,False
