Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Web Apps,Web App Slot,List Web App Slot Backups,Microsoft.Web/sites/slots/backups/Read,Get the properties of a web app slots' backup,"user,system",False
Microsoft Web Apps,Web App Slot,List Web App Slot Publishing Credentials Policies,Microsoft.Web/sites/slots/basicPublishingCredentialsPolicies/Read,List which publishing credentials are allowed for a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,List Web App Slot Publishing Credentials Policies,Microsoft.Web/sites/slots/basicPublishingCredentialsPolicies/Write,List which publishing credentials are allowed for a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,List Web App Slot Security Sensitive Settings,Microsoft.Web/sites/slots/config/list/Action,"List Web App Slot's security sensitive settings, such as publishing credentials, app settings and connection strings","user,system",False
Microsoft Web Apps,Web App Slot,Publish Web App Slot,Microsoft.Web/sites/slots/publish/Action,Publish a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,Reset Web App Slot Configuration,Microsoft.Web/sites/slots/resetSlotConfig/Action,Reset web app slot configuration,"user,system",False
Microsoft Web Apps,Web App Slot,Restart Web App Slot,Microsoft.Web/sites/slots/restart/Action,Restart a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,Start Dev Session for Web App Slot,Microsoft.Web/sites/slots/startDevSession/Action,Start Dev Session for Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,Start Web App Slot,Microsoft.Web/sites/slots/start/Action,Start a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,Stop Web App Slot,Microsoft.Web/sites/slots/stop/Action,Stop a Web App Slot,"user,system",False
Microsoft Web Apps,Web App Slot,Swap Web App Slots,Microsoft.Web/sites/slots/slotsswap/Action,Swap Web App deployment slots,"user,system",False
Microsoft Web Apps,Web App Slot,Update Web App Slot Configuration,Microsoft.Web/sites/slots/config/Write,Update Web App Slot's configuration settings,"user,system",False
Microsoft Web Apps,Web App Slot,Update Web App Slot Source Control Configuration,Microsoft.Web/sites/slots/sourcecontrols/Write,Update Web App Slot's source control configuration settings,"user,system",False
Microsoft Web Apps,Web App Slot App Setting,Create or Update Web App Slot's Single App setting,microsoft.web/sites/slots/config/appsettings/write,Create or Update Web App Slot's Single App setting,"user,system",False
Microsoft Web Apps,Web App Slot App Setting,Get Web App Slot's single App setting,microsoft.web/sites/slots/config/appsettings/read,Get Web App Slot's single App setting.,"user,system",False
Microsoft Web Apps,Web App Slot App setting,Delete Web App Slot's App Setting,microsoft.web/sites/slots/config/web/appsettings/delete,Delete Web App Slot's App Setting,"user,system",False
Microsoft Web Apps,Web App Slot Backups,List Web App Slot backups,microsoft.web/sites/slots/listbackups/action,List Web App Slot backups.,"user,system",False
Microsoft Web Apps,Web App Slot Configuration,Validate upgrade path for Web App Slot,microsoft.web/sites/slots/config/validateupgradepath/action,Validate upgrade path for Web App Slot.,"user,system",False
Microsoft Web Apps,Web App Slot Connectionstring,Create or Update Web App Slot's single sonnection string,microsoft.web/sites/slots/config/web/connectionstrings/write,Create or Update Web App Slot's single sonnection string,"user,system",False
Microsoft Web Apps,Web App Slot Connectionstring,Delete Web App slot's single connection string,microsoft.web/sites/slots/config/web/connectionstrings/delete,Delete Web App slot's single connection string,"user,system",False
Microsoft Web Apps,Web App Slot Connectionstring,Get Web App Slot's single connection string,microsoft.web/sites/slots/config/web/connectionstrings/read,Get Web App Slot's single connection string,"user,system",False
Microsoft Web Apps,Web App Slot Settings,Get Web App Slot settings,microsoft.web/sites/slots/config/appsettings/read,Get Web App Slot settings.,"user,system",False
Microsoft Web Apps,Web App Slot's Sitecontainers,Create or Update Web App Slot's Sitecontainers,Microsoft.Web/sites/slots/sitecontainers/Write,Create new or update existing Sitecontainers of a Web App's Slot,"user,system",False
Microsoft Web Apps,Web App Slot's Sitecontainers,Delete Web App Slot's Sitecontainers,Microsoft.Web/sites/slots/sitecontainers/Delete,Delete Sitecontainers of an existing Web App's Slot,"user,system",False
Microsoft Web Apps,Web App Slot's Sitecontainers,Get Web App Slot's Sitecontainers,Microsoft.Web/sites/slots/sitecontainers/Read,Get the properties of Sitecontainers of Web App's Slot,"user,system",False
Microsoft Web Apps,Web App Slots Domain Ownership Identifiers,Delete Web App Slots Ownership Identifiers,microsoft.web/sites/slots/domainownershipidentifiers/delete,Delete Web App Slots Domain Ownership Identifiers.,"user,system",False
Microsoft Web Apps,Web App Slots Domain Ownership Identifiers,Get Web Apps Slots Domain Ownership Identifiers,microsoft.web/sites/slots/domainownershipidentifiers/read,Get Web Apps Slots Domain Ownership Identifiers.,"user,system",False
Microsoft Web Apps,Web App Slots Network Features,Get Web App Slot Network Features,microsoft.web/sites/slots/networkfeatures/read,Get Web App Slot Features.,"user,system",False
Microsoft Web Apps,Web App Stacks,Get Web App Stacks,microsoft.web/webappstacks/read,Get Web App Stacks.,"user,system",False
Microsoft Web Apps,Web App Stacks,Get Web App Stacks for location,microsoft.web/locations/webappstacks/read,Get Web App Stacks for location.,"user,system",False
Microsoft Web Apps,Web App app setting,Delete Web Apps App Setting,microsoft.web/sites/config/web/appsettings/delete,Delete Web Apps App Setting,"user,system",False
Microsoft Web Apps,Web App's Sitecontainers,Create or Update Web App's Sitecontainers,Microsoft.Web/sites/sitecontainers/Write,Create new Sitecontainers or update existing ones for a Web App,"user,system",False
Microsoft Web Apps,Web App's Sitecontainers,Delete Sitecontainers of a Web App,Microsoft.Web/sites/sitecontainers/Delete,Delete Sitecontainers of an existing Web App,"user,system",False
Microsoft Web Apps,Web App's Sitecontainers,Get Web App's Sitecontainers,Microsoft.Web/sites/sitecontainers/Read,Get the properties of a Web App's Sitecontainers,"user,system",False
Microsoft Web Apps,Web Apps,Discovers an existing app backup,microsoft.web/sites/backups/action,Discovers an existing app backup that can be restored from a blob in Azure storage.,"user,system",False
Microsoft Web Apps,Web Apps,Functions Web Apps,microsoft.web/sites/functions/action,Functions Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Get Zipped Container Logs for Web App,microsoft.web/sites/containerlogs/action,Get Zipped Container Logs for Web App.,"user,system",False
Microsoft Web Apps,Web Apps,Join Network Security Perimeter,Microsoft.Web/Sites/joinPerimeter/action,Determines if a user is allowed to associate an Azure Web App with a Network Security Perimeter.,"user,system",False
Microsoft Web Apps,Web Apps,List Web Apps Sync Function Trigger Status,microsoft.web/sites/listsyncfunctiontriggerstatus/action,List Sync Function Trigger Status.,"user,system",False
Microsoft Web Apps,Web Apps,List Web Apps Sync Function Trigger Status for deployment slot,microsoft.web/sites/slots/listsyncfunctiontriggerstatus/action,List Sync Function Trigger Status for deployment slot.,"user,system",False
Microsoft Web Apps,Web Apps,List Web Apps Sync Function Triggers Status,microsoft.web/sites/host/listsyncstatus/action,List Sync Function Triggers Status.,"user,system",False
Microsoft Web Apps,Web Apps,Migrate MySql Web Apps,microsoft.web/sites/migratemysql/action,Migrate MySql Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Network Trace Web Apps,microsoft.web/sites/networktrace/action,Network Trace Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Newpassword Web Apps,microsoft.web/sites/newpassword/action,Newpassword Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Recover Web Apps,microsoft.web/sites/recover/action,Recover Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Restore Web App From Backup Blob,microsoft.web/sites/restorefrombackupblob/action,Restore Web App From Backup Blob.,"user,system",False
Microsoft Web Apps,Web Apps,Restore Web Apps,microsoft.web/sites/restore/write,Restore Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Restore Web Apps From Deleted App,microsoft.web/sites/restorefromdeletedapp/action,Restore Web Apps From Deleted App.,"user,system",False
Microsoft Web Apps,Web Apps,Restore Web Apps Snapshots,microsoft.web/sites/restoresnapshot/action,Restore Web Apps Snapshots.,"user,system",False
Microsoft Web Apps,Web Apps,Sync Web Apps,microsoft.web/sites/sync/action,Sync Web Apps.,"user,system",False
Microsoft Web Apps,Web Apps,Sync Web Apps Function Triggers,microsoft.web/sites/syncfunctiontriggers/action,Sync Function Triggers.,"user,system",False
