Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Azure ServiceBus,PrivateLinks,Gets the resource types that support private endpoint connections,Microsoft.ServiceBus/namespaces/privateLinkResources/read,Gets the resource types that support private endpoint connections,,False
Microsoft Azure ServiceBus,Queue,Create or Update Queue,Microsoft.ServiceBus/namespaces/queues/write,Create or Update Queue properties.,,False
Microsoft Azure ServiceBus,Queue,Delete Queue,Microsoft.ServiceBus/namespaces/queues/Delete,Operation to delete Queue Resource,,False
Microsoft Azure ServiceBus,Queue,Get Queue,Microsoft.ServiceBus/namespaces/queues/read,Get list of Queue Resource Descriptions,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules, Get Queue Authorization Rules,Microsoft.ServiceBus/namespaces/queues/authorizationRules/read, Get the list of Queue Authorization Rules,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules,Create or Update Queue Authorization Rule,Microsoft.ServiceBus/namespaces/queues/authorizationRules/write,Create Queue Authorization Rules and Update its properties. The Authorization Rules Access Rights can be updated.,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules,Delete Queue Authorization Rules,Microsoft.ServiceBus/namespaces/queues/authorizationRules/delete,Operation to delete Queue Authorization Rules,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules,List Queue keys,Microsoft.ServiceBus/namespaces/queues/authorizationRules/listkeys/action,Get the Connection String to Queue,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules,Resource Regeneratekeys,Microsoft.ServiceBus/namespaces/queues/authorizationRules/regenerateKeys/action,Regenerate the Primary or Secondary key to the Resource,,False
Microsoft Azure ServiceBus,Queue AuthorizationRules,Update Queue Authorization Rules (Deprecated),Microsoft.ServiceBus/namespaces/queues/authorizationRules/action,Operation to update Queue. This operation is not supported on API version 2017-04-01. Authorization Rules. Please use a PUT call to update Authorization Rule.,,False
Microsoft Azure ServiceBus,Remove ACS namespace,Remove ACS namespace,Microsoft.ServiceBus/namespaces/removeAcsNamepsace/action,Remove ACS namespace,,False
Microsoft Azure ServiceBus,Rule,Create or Update Rule,Microsoft.ServiceBus/namespaces/topics/subscriptions/rules/write,Create or Update Rule properties.,,False
Microsoft Azure ServiceBus,Rule,Delete Rule,Microsoft.ServiceBus/namespaces/topics/subscriptions/rules/Delete,Operation to delete Rule Resource,,False
Microsoft Azure ServiceBus,Rule,Get Rule,Microsoft.ServiceBus/namespaces/topics/subscriptions/rules/read,Get list of Rule Resource Descriptions,,False
Microsoft Azure ServiceBus,ServiceBus Resource Provider,Deletes the VNet rules in ServiceBus Resource Provider for the specified VNet,Microsoft.ServiceBus/locations/deleteVirtualNetworkOrSubnets/action,Deletes the VNet rules in ServiceBus Resource Provider for the specified VNet,,False
Microsoft Azure ServiceBus,ServiceBus Resource Provider,Registers the ServiceBus Resource Provider,Microsoft.ServiceBus/register/action,Registers the subscription for the ServiceBus resource provider and enables the creation of ServiceBus resources,,False
