EVENT,REQUEST,RESPONSE
AddTags,NAME: requestParameters.loadBalancerNames[*],
ApplySecurityGroupsToLoadBalancer,NAME: requestParameters.loadBalancerName,
AttachLoadBalancerToSubnets,NAME: requestParameters.loadBalancerName,
ConfigureHealthCheck,NAME: requestParameters.loadBalancerName,
CreateAppCookieStickinessPolicy,NAME: requestParameters.loadBalancerName,
CreateLBCookieStickinessPolicy,NAME: requestParameters.loadBalancerName,
CreateLoadBalancer,NAME: requestParameters.loadBalancerName,
CreateLoadBalancerListeners,NAME: requestParameters.loadBalancerName,
CreateLoadBalancerPolicy,NAME: requestParameters.loadBalancerName,
DeleteLoadBalancer,NAME: requestParameters.loadBalancerName,
DeleteLoadBalancerListeners,NAME: requestParameters.loadBalancerName,
DeleteLoadBalancerPolicy,NAME: requestParameters.loadBalancerName,
DeregisterInstancesFromLoadBalancer,NAME: requestParameters.loadBalancerName,
DetachLoadBalancerFromSubnets,NAME: requestParameters.loadBalancerName,
DisableAvailabilityZonesForLoadBalancer,NAME: requestParameters.loadBalancerName,
EnableAvailabilityZonesForLoadBalancer,NAME: requestParameters.loadBalancerName,
ModifyLoadBalancerAttributes,NAME: requestParameters.loadBalancerName,NAME: responseElements.loadBalancerName
RegisterInstancesWithLoadBalancer,NAME: requestParameters.loadBalancerName,
RemoveTags,NAME: requestParameters.loadBalancerNames[*],
SetLoadBalancerListenerSSLCertificate,NAME: requestParameters.loadBalancerName,
SetLoadBalancerPoliciesForBackendServer,NAME: requestParameters.loadBalancerName,
SetLoadBalancerPoliciesOfListener,NAME: requestParameters.loadBalancerName,
