Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft SQL Database,Azure SQL Database ledger digest upload settings,Gets in-progress operations of ledger digest upload settings,Microsoft.Sql/locations/ledgerDigestUploadsOperationResults/read,Gets in-progress operations of ledger digest upload settings,,False
Microsoft SQL Database,Azure SQL Database ledger digest upload settings,Read ledger digest upload settings,Microsoft.Sql/servers/databases/ledgerDigestUploads/read,Read ledger digest upload settings,,False
Microsoft SQL Database,Azure SQL Managed Database,Cancel Managed Instance database move operation.,Microsoft.Sql/managedInstances/databases/cancelMove/action,Cancels Managed Instance database move.,,False
Microsoft SQL Database,Azure SQL Managed Database,Complete managed database restore,Microsoft.Sql/locations/managedDatabaseRestoreAzureAsyncOperation/completeRestore/action,Completes managed database restore operation,,False
Microsoft SQL Database,Azure SQL Managed Database,Complete managed database restore,Microsoft.Sql/managedInstances/databases/completeRestore/action,Completes managed database restore operation,,False
Microsoft SQL Database,Azure SQL Managed Database,Completes Managed Instance database move operation.,Microsoft.Sql/managedInstances/databases/completeMove/action,Completes Managed Instance database move.,,False
Microsoft SQL Database,Azure SQL Managed Database,Creates or updates an existing database.,Microsoft.Sql/managedInstances/databases/write,Creates a new database or updates an existing database.,,False
Microsoft SQL Database,Azure SQL Managed Database,Delete managed database,Microsoft.Sql/managedInstances/databases/delete,Deletes an existing managed database,,False
Microsoft SQL Database,Azure SQL Managed Database,Get inaccessible managed databases,Microsoft.Sql/managedInstances/inaccessibleManagedDatabases/read,Gets a list of inaccessible managed databases in a managed instance,,False
Microsoft SQL Database,Azure SQL Managed Database,Get managed database,Microsoft.Sql/managedInstances/databases/read,Gets existing managed database,,False
Microsoft SQL Database,Azure SQL Managed Database,Reevaluates the inaccessibility state of a managed database.,Microsoft.Sql/managedInstances/databases/reevaluateInaccessibleDatabaseState/action,Reevaluates the inaccessibility state of a managed database.,,False
Microsoft SQL Database,Azure SQL Managed Database,Start Managed Instance database move operation.,Microsoft.Sql/managedInstances/databases/startMove/action,Starts Managed Instance database move.,,False
Microsoft SQL Database,Azure SQL Managed Database Column,Get a managed database column,Microsoft.Sql/managedInstances/databases/schemas/tables/columns/read,Get a managed database column,,False
Microsoft SQL Database,Azure SQL Managed Database Column,Return a list of columns for a managed database,Microsoft.Sql/managedInstances/databases/columns/read,Return a list of columns for a managed database,,False
Microsoft SQL Database,Azure SQL Managed Database Schema,Get a managed database schema.,Microsoft.Sql/managedInstances/databases/schemas/read,Get a managed database schema.,,False
