Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Azure Monitor,Action group endpoint NSP association proxy,Read action group endpoint NSP association proxy,Microsoft.Insights/actionGroups/NetworkSecurityPerimeterAssociationProxies/Read,Read a action group endpoint NSP association proxy,,False
Microsoft Azure Monitor,Action group endpoint effective NSP configuration,Read action group endpoint effective NSP configuration,Microsoft.Insights/actionGroups/NetworkSecurityPerimeterConfigurations/Read,Read action group endpoint effective NSP configuration,,False
Microsoft Azure Monitor,Action group endpoint effective NSP configuration,Reconcile action group endpoint NSP configuration,Microsoft.Insights/actionGroups/NetworkSecurityPerimeterConfigurations/Reconcile/Action,Reconcile action group endpoint NSP configuration,,False
Microsoft Azure Monitor,Activity Log Alert,Activity Log Alert activated,Microsoft.Insights/ActivityLogAlerts/Activated/Action,Activity Log Alert activated,,False
Microsoft Azure Monitor,Activity Log Alert,Create or update activity log alert,Microsoft.Insights/ActivityLogAlerts/Write,Create or update an activity log alert,,False
Microsoft Azure Monitor,Activity Log Alert,Delete activity log alert,Microsoft.Insights/ActivityLogAlerts/Delete,Delete an activity log alert,,False
Microsoft Azure Monitor,Activity Log Alert,Read activity log alert,Microsoft.Insights/ActivityLogAlerts/Read,Read an activity log alert,,False
Microsoft Azure Monitor,Activity Log Events,Read Activity Log,Microsoft.Insights/eventtypes/values/Read,Read Activity Log events,,False
Microsoft Azure Monitor,Activity Log event category,Read Activity Log event categories,Microsoft.Insights/EventCategories/Read,Read available Activity Log event categories,,False
Microsoft Azure Monitor,AddonAzureBackupAlerts,Read AddonAzureBackupAlerts data,Microsoft.Insights/Logs/AddonAzureBackupAlerts/Read,Read data from the AddonAzureBackupAlerts table,,False
Microsoft Azure Monitor,AddonAzureBackupJobs,Read AddonAzureBackupJobs data,Microsoft.Insights/Logs/AddonAzureBackupJobs/Read,Read data from the AddonAzureBackupJobs table,,False
Microsoft Azure Monitor,AddonAzureBackupPolicy,Read AddonAzureBackupPolicy data,Microsoft.Insights/Logs/AddonAzureBackupPolicy/Read,Read data from the AddonAzureBackupPolicy table,,False
Microsoft Azure Monitor,AddonAzureBackupProtectedInstance,Read AddonAzureBackupProtectedInstance data,Microsoft.Insights/Logs/AddonAzureBackupProtectedInstance/Read,Read data from the AddonAzureBackupProtectedInstance table,,False
