Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Compute,Virtual Machine,Read diagnostic setting,Microsoft.Compute/virtualMachines/providers/Microsoft.Insights/diagnosticSettings/read,Gets the diagnostic setting for the Virtual Machine.,system,FALSE
Microsoft Compute,Virtual Machine,Write diagnostic setting,Microsoft.Compute/virtualMachines/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting for the Virtual Machine.,system,FALSE
Microsoft Compute,Virtual Machine Extensions,Create or Update Virtual Machine Extension,Microsoft.Compute/virtualMachines/extensions/write,Creates a new virtual machine extension or updates an existing one,"user,system",FALSE
Microsoft Compute,Virtual Machine Extensions,Delete Virtual Machine Extension,Microsoft.Compute/virtualMachines/extensions/delete,Deletes the virtual machine extension,"user,system",FALSE
Microsoft Compute,Virtual Machine Extensions,Get Virtual Machine Extension,Microsoft.Compute/virtualMachines/extensions/read,Get the properties of a virtual machine extension,"user,system",FALSE
Microsoft Compute,Virtual Machine Instance View,Get Virtual Machine Instance View,Microsoft.Compute/virtualMachines/instanceView/read,Gets the detailed runtime status of the virtual machine and its resources,"user,system",FALSE
Microsoft Compute,Virtual Machine Metric Definitions,Get Virtual Machine Metric Definitions,Microsoft.Compute/virtualMachines/providers/Microsoft.Insights/metricDefinitions/read,Reads Virtual Machine Metric Definitions,system,FALSE
Microsoft Compute,Virtual Machine RunCommands,Create or Update Virtual Machine run command,Microsoft.Compute/virtualMachines/runCommands/write,Creates a new virtual machine run command or updates an existing one,"user,system",FALSE
Microsoft Compute,Virtual Machine RunCommands,Delete Virtual Machine run command,Microsoft.Compute/virtualMachines/runCommands/delete,Deletes the virtual machine run command,"user,system",FALSE
Microsoft Compute,Virtual Machine RunCommands,Get Virtual Machine run command,Microsoft.Compute/virtualMachines/runCommands/read,Get the properties of a virtual machine run command,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set,Read the diagnostic setting,Microsoft.Compute/virtualMachineScaleSets/providers/Microsoft.Insights/diagnosticSettings/read,Gets the diagnostic setting for the Virtual Machine Scale Set.,system,FALSE
Microsoft Compute,Virtual Machine Scale Set,Write diagnostic setting,Microsoft.Compute/virtualMachineScaleSets/providers/Microsoft.Insights/diagnosticSettings/write,Creates or updates the diagnostic setting for the Virtual Machine Scale set.,system,FALSE
Microsoft Compute,Virtual Machine Scale Set Extensions,Create or Update Virtual Machine Scale Set Extension,Microsoft.Compute/virtualMachineScaleSets/extensions/write,Creates a new Virtual Machine Scale Set Extension or updates an existing one,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set Extensions,Delete Virtual Machine Scale Set Extension,Microsoft.Compute/virtualMachineScaleSets/extensions/delete,Deletes the Virtual Machine Scale Set Extension,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set Extensions,Get Virtual Machine Scale Set Extension,Microsoft.Compute/virtualMachineScaleSets/extensions/read,Gets the properties of a Virtual Machine Scale Set Extension,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set Instance View,Get Virtual Machine Scale Set Instance View,Microsoft.Compute/virtualMachineScaleSets/instanceView/read,Gets the instance view of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set OS Upgrade History,Gets the history of OS upgrades for a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/osUpgradeHistory/read,Gets the history of OS upgrades for a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Set SKU,List SKUs for Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/skus/read,Lists the valid SKUs for an existing Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Approve deferred rolling upgrades for a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/approveRollingUpgrade/action,Approves deferred rolling upgrades for the instances of a Virtual Machine Scale Set ,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Create or Update Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/write,Creates a new Virtual Machine Scale Set or updates an existing one,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Deallocate Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/deallocate/action,Powers off and releases the compute resources for the instances of the Virtual Machine Scale Set ,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Delete Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/delete,Deletes the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Delete Virtual Machines in a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/delete/action,Deletes the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Get Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/read,Get the properties of a Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Manual Upgrade Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/manualUpgrade/action,Manually updates instances to latest model of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Manually walk platform update domains in a service fabric Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/forceRecoveryServiceFabricPlatformUpdateDomainWalk/action,Manually walk the platform update domains of a service fabric Virtual Machine Scale Set to finish a pending update that is stuck,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Perform planned maintenance on a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/performMaintenance/action,Performs planned maintenance on the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Power Off Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/powerOff/action,Powers off the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Reapply Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/reapply/action,Reapply the Virtual Machine Scale Set Virtual Machine Profile to the Virtual Machine Instances,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Redeploy Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/redeploy/action,Redeploy the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Reimage Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/reimage/action,Reimages the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Reimage all Disks for a Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/reimageAll/action,Reimages all disks (OS Disk and Data Disks) for the instances of a Virtual Machine Scale Set ,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Restart Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/restart/action,Restarts the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Sets the state of an orchestration service in a Virtual Machine Scale Set.,Microsoft.Compute/virtualMachineScaleSets/setOrchestrationServiceState/action,Sets the state of an orchestration service based on the action provided in operation input.,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Start Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/start/action,Starts the instances of the Virtual Machine Scale Set,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Upgrades OS on Virtual Machine Scale Set instances to the latest available Platform Image OS version.,Microsoft.Compute/virtualMachineScaleSets/osRollingUpgrade/action,Starts a rolling upgrade to move all Virtual Machine Scale Set instances to the latest available Platform Image OS version.,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets,Verify Scaling of Virtual Machine Scale Set,Microsoft.Compute/virtualMachineScaleSets/scale/action,Verify if an existing Virtual Machine Scale Set can Scale In/Scale Out to specified instance count,"user,system",FALSE
Microsoft Compute,Virtual Machine Scale Sets Rolling Upgrades,Cancel Virtual Machine Scale Set Rolling Upgrade operation,Microsoft.Compute/virtualMachineScaleSets/rollingUpgrades/action,Cancels the rolling upgrade of a Virtual Machine Scale Set,"user,system",FALSE
