EVENT
CreateAccessPoint
CreateFileSystem
CreateMountTarget
CreateReplicationConfiguration
CreateTags
DeleteAccessPoint
DeleteFileSystem
DeleteFileSystemPolicy
DeleteMountTarget
DeleteReplicationConfiguration
DeleteTags
ModifyMountTargetSecurityGroups
PutAccountPreferences
PutBackupPolicy
PutFileSystemPolicy
PutLifecycleConfiguration
TagResource
UntagResource
UpdateFileSystem
UpdateFileSystemProtection
